"ID","영문식별자(Key)","기술명(한국어)","기술명(영어)","타입(Type)","분류(Category)","위력(Power)","명중률(Accuracy)","기본PP","한국어설명(Description Ko)","영어설명(Description En)"
"16","gust","바람일으키기","gust","flying","special","40","100","35","날개로 일으킨 격한 바람을 상대에게 부딪쳐서 공격한다.","Power doubles if the target is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
"17","wing-attack","날개치기","wing-attack","flying","physical","60","100","35","크게 펼친 훌륭한 날개를 상대에게 부딪쳐서 공격한다.","No additional effect."
"18","whirlwind","날려버리기","whirlwind","normal","status","","","20","상대를 날려버려서 교대할 포켓몬을 끌어낸다. 야생의 경우에는 배틀이 끝난다.","The target is forced to switch out and be replaced with a random unfainted ally. Fails if the target is the last unfainted Pokemon in its party, or if the target used Ingrain previously or has the Suction Cups Ability."
"19","fly","공중날기","fly","flying","physical","90","95","15","1턴째에 하늘을 날아 2턴째에 상대를 공격한다. 알고 있는 도시로 날아갈 수 있다.","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister, and Gust and Twister have doubled power when used against it. If the user is holding a Power Herb, the move completes in one turn."
"20","bind","조이기","bind","normal","physical","15","85","20","긴 몸이나 덩굴 등을 써서 4-5턴 동안 상대를 조여 공격한다.","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"21","slam","힘껏치기","slam","normal","physical","80","75","20","긴 꼬리나 덩굴 등을 사용해 상대를 힘껏 쳐서 공격한다.","No additional effect."
"22","vine-whip","덩굴채찍","vine-whip","grass","physical","45","100","25","채찍처럼 휘어지는 가늘고 긴 덩굴로 상대를 힘껏 쳐서 공격한다.","No additional effect."
"23","stomp","짓밟기","stomp","normal","physical","65","100","20","큰 발로 상대를 짓밟아서 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"24","double-kick","두번차기","double-kick","fighting","physical","30","100","30","2개의 다리로 상대를 걷어차서 공격한다. 2회 연속으로 데미지를 준다.","Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"25","mega-kick","메가톤킥","mega-kick","normal","physical","120","75","5","굉장한 힘을 담은 킥으로 상대를 걷어차서 공격한다.","No additional effect."
"26","jump-kick","점프킥","jump-kick","fighting","physical","100","95","10","높이 점프해서 킥으로 상대를 공격한다. 빗나가면 자신이 데미지를 입는다.","If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage."
"27","rolling-kick","돌려차기","rolling-kick","fighting","physical","60","85","15","몸을 재빨리 회전시키며 걷어차서 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch."
"28","sand-attack","모래뿌리기","sand-attack","ground","status","","100","15","상대의 얼굴에 모래를 뿌려서 명중률을 떨어뜨린다.","Lowers the target's accuracy by 1 stage."
"29","headbutt","박치기","headbutt","normal","physical","70","100","15","머리를 내밀어 곧장 돌진하여 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch."
"30","horn-attack","뿔찌르기","horn-attack","normal","physical","65","100","25","날카롭고 뾰족한 뿔로 상대를 공격한다.","No additional effect."
"31","fury-attack","마구찌르기","fury-attack","normal","physical","15","85","20","뿔이나 부리로 상대를 찔러서 공격한다. 2-5회 동안 연속으로 쓴다.","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times."
"32","horn-drill","뿔드릴","horn-drill","normal","physical","","30","5","회전하는 뿔을 상대에게 꿰찔러서 공격한다. 맞으면 일격에 기절한다.","Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune."
"33","tackle","몸통박치기","tackle","normal","physical","40","100","35","상대를 향해서 몸 전체를 부딪쳐가며 공격한다.","No additional effect."
"34","body-slam","누르기","body-slam","normal","physical","85","100","15","몸 전체로 상대를 덮쳐 눌러 공격한다. 마비 상태로 만들 때가 있다.","Has a 30% chance to paralyze the target. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"35","wrap","김밥말이","wrap","normal","physical","15","90","20","긴 몸이나 덩굴 등을 사용해 4-5턴 동안 상대를 휘감아 공격한다.","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"36","take-down","돌진","take-down","normal","physical","90","85","20","굉장한 기세로 상대에게 부딪쳐 공격한다. 자신도 조금 데미지를 입는다.","If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP."
"37","thrash","난동부리기","thrash","normal","physical","120","100","10","2-3턴 동안 마구 난동 부려서 상대를 공격한다. 난동 부린 뒤에는 혼란에 빠진다.","The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"38","double-edge","이판사판태클","double-edge","normal","physical","120","100","15","목숨을 걸고 상대에게 돌진하여 공격을 한다. 자신도 상당한 데미지를 입는다.","If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"39","tail-whip","꼬리흔들기","tail-whip","normal","status","","100","30","꼬리를 좌우로 귀엽게 흔들어 방심을 유도한다. 상대의 방어를 떨어뜨린다.","Lowers the target's Defense by 1 stage."
"40","poison-sting","독침","poison-sting","poison","physical","15","100","35","독이 있는 침을 상대에게 꿰찔러서 공격한다. 독 상태로 만들 때가 있다.","Has a 30% chance to poison the target."
"41","twineedle","더블니들","twineedle","bug","physical","25","100","20","2개의 침을 상대에게 꿰찔러 2회 연속으로 데미지를 준다. 독 상태로 만들 때가 있다.","Hits twice, with each hit having a 20% chance to poison the target. If the first hit breaks the target's substitute, it will take damage for the second hit."
"42","pin-missile","바늘미사일","pin-missile","bug","physical","25","95","20","날카로운 침을 상대에게 발사해서 공격한다. 2-5회 동안 연속으로 쓴다.","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times."
"43","leer","째려보기","leer","normal","status","","100","30","날카로운 눈초리로 겁을 주어 상대의 방어를 떨어뜨린다.","Lowers the target's Defense by 1 stage."
"44","bite","물기","bite","dark","physical","60","100","25","날카롭고 뾰족한 이빨로 물어서 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch."
"45","growl","울음소리","growl","normal","status","","100","40","귀여운 울음소리를 들려주고 관심을 끌어 방심한 사이에 상대의 공격을 떨어뜨린다.","Lowers the target's Attack by 1 stage."
"46","roar","울부짖기","roar","normal","status","","","20","상대를 도망가게 해서 교대할 포켓몬을 끌어낸다. 야생의 경우에는 배틀이 끝난다.","The target is forced to switch out and be replaced with a random unfainted ally. Fails if the target is the last unfainted Pokemon in its party, or if the target used Ingrain previously or has the Suction Cups Ability."
"47","sing","노래하기","sing","normal","status","","55","15","기분 좋은 예쁜 노랫소리를 들려주고 상대를 잠듦 상태로 만든다.","Causes the target to fall asleep."
"48","supersonic","초음파","supersonic","normal","status","","55","20","특수한 음파를 몸에서 발산하여 상대를 혼란시킨다.","Causes the target to become confused."
"49","sonic-boom","소닉붐","sonic-boom","normal","special","","90","20","충격파를 상대에 부딪쳐서 공격한다. 언제나 20의 데미지를 준다.","Deals 20 HP of damage to the target."
"50","disable","사슬묶기","disable","normal","status","","100","20","상대의 움직임을 막아 바로 전에 쓴 기술을 4턴 동안 사용할 수 없게 만든다.","For 4 turns, the target's last move used becomes disabled. Fails if one of the target's moves is already disabled, if the target has not made a move, if the target no longer knows the move, or if the move was a Max or G-Max Move."
"51","acid","용해액","acid","poison","special","40","100","30","강한 산을 상대에게 끼얹어 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"52","ember","불꽃세례","ember","fire","special","40","100","25","작은 불꽃을 상대에게 발사하여 공격한다. 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target."
"53","flamethrower","화염방사","flamethrower","fire","special","90","100","15","세찬 불꽃을 상대에게 발사하여 공격한다. 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target."
"54","mist","흰안개","mist","ice","status","","","30","하얀 안개로 몸을 덮는다. 5턴 동안 상대에 의해 능력이 떨어지지 않게 된다.","For 5 turns, the user and its party members are protected from having their stat stages lowered by other Pokemon. Fails if the effect is already active on the user's side."
"55","water-gun","물대포","water-gun","water","special","40","100","25","물을 기세 좋게 상대에게 발사하여 공격한다.","No additional effect."
"56","hydro-pump","하이드로펌프","hydro-pump","water","special","110","80","5","대량의 물을 세찬 기세로 상대에게 발사하여 공격한다.","No additional effect."
"57","surf","파도타기","surf","water","special","90","100","15","큰 파도로 자신의 주위에 있는 포켓몬을 공격한다. 물 위도 헤엄쳐서 나아간다.","Damage doubles if the target is using Dive."
"58","ice-beam","냉동빔","ice-beam","ice","special","90","100","10","냉동빔을 상대에게 발사하여 공격한다. 얼음 상태로 만들 때가 있다.","Has a 10% chance to freeze the target."
"59","blizzard","눈보라","blizzard","ice","special","110","70","5","세찬 눈보라를 상대에게 내뿜어 공격한다. 얼음 상태로 만들 때가 있다.","Has a 10% chance to freeze the target. If the weather is Snow, this move does not check accuracy."
"60","psybeam","환상빔","psybeam","psychic","special","65","100","20","이상한 광선을 상대에게 발사하여 공격한다. 혼란시킬 때가 있다.","Has a 10% chance to confuse the target."
"61","bubble-beam","거품광선","bubble-beam","water","special","65","100","20","거품을 기세 좋게 상대에게 발사하여 공격한다. 스피드를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Speed by 1 stage."
"62","aurora-beam","오로라빔","aurora-beam","ice","special","65","100","20","무지개색의 빔을 상대에게 발사하여 공격한다. 공격을 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Attack by 1 stage."
"63","hyper-beam","파괴광선","hyper-beam","normal","special","150","90","5","강한 광선을 상대에게 발사하여 공격한다. 다음 턴은 움직일 수 없다.","If this move is successful, the user must recharge on the following turn and cannot select a move."
"64","peck","쪼기","peck","flying","physical","35","100","35","날카롭고 뾰족한 부리나 뿔로 상대를 쪼아서 공격한다.","No additional effect."
"65","drill-peck","회전부리","drill-peck","flying","physical","80","100","20","회전하면서 뾰족한 부리를 상대에게 꿰찔러 공격한다.","No additional effect."
"66","submission","지옥의바퀴","submission","fighting","physical","80","80","20","땅에 자신과 함께 상대를 내던져 공격한다. 자신도 조금 데미지를 입는다.","If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP."
"67","low-kick","안다리걸기","low-kick","fighting","physical","","100","20","발을 강하게 걸고 상대를 넘어뜨려 공격한다. 상대가 무거울수록 위력이 올라간다.","This move's power is 20 if the target weighs less than 10 kg, 40 if less than 25 kg, 60 if less than 50 kg, 80 if less than 100 kg, 100 if less than 200 kg, and 120 if greater than or equal to 200 kg."
"68","counter","카운터","counter","fighting","physical","","100","20","상대로부터 받은 물리공격의 데미지를 2배로 만들어 같은 상대에게 돌려준다.","Deals damage to the last opposing Pokemon to hit the user with a physical attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical attack this turn."
"69","seismic-toss","지구던지기","seismic-toss","fighting","physical","","100","20","인력을 사용해 내던진다. 자신의 레벨과 똑같은 데미지를 상대에게 준다.","Deals damage to the target equal to the user's level."
"70","strength","괴력","strength","normal","physical","80","100","15","혼신의 힘으로 상대를 세게 때려서 공격한다. 무거운 돌을 밀 수도 있다.","No additional effect."
"71","absorb","흡수","absorb","grass","special","20","100","25","양분을 흡수하여 공격한다. 상대에게 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.","The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"72","mega-drain","메가드레인","mega-drain","grass","special","40","100","15","양분을 흡수하여 공격한다. 상대에게 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.","The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"73","leech-seed","씨뿌리기","leech-seed","grass","status","","90","10","씨가 뿌려진 상대의 HP를 매 턴 조금씩 흡수하여 자신의 HP를 회복한다.","The Pokemon at the user's position steals 1/8 of the target's maximum HP, rounded down, at the end of each turn. If Big Root is held by the recipient, the HP recovered is 1.3x normal, rounded half down. If the target uses Baton Pass, the replacement will continue being leeched. If the target switches out or uses Mortal Spin or Rapid Spin successfully, the effect ends. Grass-type Pokemon are immune to this move on use, but not its effect."
"74","growth","성장","growth","normal","status","","","20","몸을 일시에 크게 성장시켜 공격과 특수공격을 올린다.","Raises the user's Attack and Special Attack by 1 stage. If the weather is Sun or Intense Sun, this move raises the user's Attack and Special Attack by 2 stages. If the user is holding Utility Umbrella, this move will only raise the user's Attack and Special Attack by 1 stage, even if the weather is Sun or Intense Sun."
"75","razor-leaf","잎날가르기","razor-leaf","grass","physical","55","95","25","잎사귀를 날려 상대를 베어 공격한다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"76","solar-beam","솔라빔","solar-beam","grass","special","120","100","10","1턴째에 빛을 가득 모아 2턴째에 빛의 다발을 발사하여 공격한다.","This attack charges on the first turn and executes on the second. Power is halved if the weather is Heavy Rain, Rain, Sandstorm, or Snow and the user is not holding Utility Umbrella. If the user is holding a Power Herb or the weather is Intense Sun or Sun, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Intense Sun or Sun, the move still requires a turn to charge."
"77","poison-powder","독가루","poison-powder","poison","status","","75","35","독이 있는 가루를 많이 흩뿌려서 상대를 독 상태로 만든다.","Poisons the target."
"78","stun-spore","저리가루","stun-spore","grass","status","","75","30","저리 가루를 많이 흩뿌려서 상대를 마비 상태로 만든다.","Paralyzes the target."
"79","sleep-powder","수면가루","sleep-powder","grass","status","","75","15","잠이 오는 가루를 많이 흩뿌려서 상대를 잠듦 상태로 만든다.","Causes the target to fall asleep."
"80","petal-dance","꽃잎댄스","petal-dance","grass","special","120","100","10","2-3턴 동안 꽃을 흩뿌려서 상대를 공격한다. 흩뿌린 뒤에는 혼란에 빠진다.","The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"81","string-shot","실뿜기","string-shot","bug","status","","95","40","입에서 뿜어낸 실을 휘감아서 상대의 스피드를 크게 떨어뜨린다.","Lowers the target's Speed by 2 stages."
"82","dragon-rage","용의분노","dragon-rage","dragon","special","","100","10","분노의 충격파를 상대에게 부딪쳐서 공격한다. 언제나 40의 데미지를 준다.","Deals 40 HP of damage to the target."
"83","fire-spin","회오리불꽃","fire-spin","fire","special","35","85","15","세차게 소용돌이치는 불꽃 속에 4-5턴 동안 상대를 가두어 공격한다.","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"84","thunder-shock","전기쇼크","thunder-shock","electric","special","40","100","30","전기 자극을 상대에게 날려서 공격한다. 마비 상태로 만들 때가 있다.","Has a 10% chance to paralyze the target."
"85","thunderbolt","10만볼트","thunderbolt","electric","special","90","100","15","강한 전격을 상대에게 날려서 공격한다. 마비 상태로 만들 때가 있다.","Has a 10% chance to paralyze the target."
"86","thunder-wave","전기자석파","thunder-wave","electric","status","","90","20","약한 전격을 날려서 상대를 마비 상태로 만든다.","Paralyzes the target. This move does not ignore type immunity."
"87","thunder","번개","thunder","electric","special","110","70","10","강한 번개를 상대에게 떨어뜨려 공격한다. 마비 상태로 만들 때가 있다.","Has a 30% chance to paralyze the target. This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop. If the weather is Heavy Rain or Rain, this move does not check accuracy. If the weather is Intense Sun or Sun, this move's accuracy is 50%. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 70%."
"88","rock-throw","돌떨구기","rock-throw","rock","physical","50","90","15","작은 바위를 들어올려 상대에게 내던져서 공격한다.","No additional effect."
"89","earthquake","지진","earthquake","ground","physical","100","100","10","지진의 충격으로 자신의 주위에 있는 포켓몬을 공격한다.","Damage doubles if the target is using Dig."
"90","fissure","땅가르기","fissure","ground","physical","","30","5","땅이 갈라진 곳에 상대를 떨어뜨려 공격한다. 맞으면 일격에 기절한다.","Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune."
"91","dig","구멍파기","dig","ground","physical","80","100","10","1턴째에 파고들어 2턴째에 상대를 공격한다. 동굴에서 탈출할 수도 있다.","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Earthquake and Magnitude but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn."
"92","toxic","맹독","toxic","poison","status","","90","10","상대를 맹독의 상태로 만든다. 턴이 진행될수록 독의 데미지가 증가한다.","Badly poisons the target. If a Poison-type Pokemon uses this move, the target cannot avoid the attack, even if the target is in the middle of a two-turn move."
"93","confusion","염동력","confusion","psychic","special","50","100","25","약한 염동력을 상대에게 보내어 공격한다. 상대를 혼란시킬 때가 있다.","Has a 10% chance to confuse the target."
"94","psychic","사이코키네시스","psychic","psychic","special","90","100","10","강한 염동력을 상대에게 보내어 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"95","hypnosis","최면술","hypnosis","psychic","status","","60","20","졸음을 유도하는 암시를 걸어서 상대를 잠듦 상태로 만든다.","Causes the target to fall asleep."
"96","meditate","요가포즈","meditate","psychic","status","","","40","잠들어 있는 힘을 몸속에서 끌어내어 자신의 공격을 올린다.","Raises the user's Attack by 1 stage."
"97","agility","고속이동","agility","psychic","status","","","30","힘을 빼고 몸을 가볍게 해서 고속으로 움직인다. 자신의 스피드를 크게 올린다.","Raises the user's Speed by 2 stages."
"98","quick-attack","전광석화","quick-attack","normal","physical","40","100","30","눈에 보이지 않는 굉장한 속도로 상대에게 돌진한다. 반드시 선제공격할 수 있다.","No additional effect."
"99","rage","분노","rage","normal","physical","20","100","20","기술을 썼을 때 공격을 받으면 분노의 힘으로 공격이 올라간다.","Once this move is successfully used, the user's Attack is raised by 1 stage every time it is hit by another Pokemon's attack as long as this move is chosen for use."
"100","teleport","순간이동","teleport","psychic","status","","","20","야생 포켓몬과 배틀을 그만둔다. 마지막에 들어갔던 포켓몬센터가 있는 도시에도 갈 수 있다.","If this move is successful and the user has not fainted, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members."
"101","night-shade","나이트헤드","night-shade","ghost","special","","100","15","무시무시한 환상을 보게 해서 자신의 레벨과 똑같은 만큼의 데미지를 상대에게 준다.","Deals damage to the target equal to the user's level."
"102","mimic","흉내내기","mimic","normal","status","","","10","상대가 마지막에 사용한 기술을 배틀을 하는 동안 자신의 기술로 만들 수 있다.","While the user remains active, this move is replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, if the user already knows the move, or if the move is Assist, Behemoth Bash, Behemoth Blade, Belch, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Hold Hands, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Tera Starstorm, Transform, or Wicked Torque."
"103","screech","싫은소리","screech","normal","status","","85","40","그만 귀를 막아버리고 싶은 싫은 소리를 내어 상대의 방어를 크게 떨어뜨린다.","Lowers the target's Defense by 2 stages."
"104","double-team","그림자분신","double-team","normal","status","","","15","재빠른 움직임으로 분신을 만들어 상대를 혼란시켜 회피율을 올린다.","Raises the user's evasiveness by 1 stage."
"105","recover","HP회복","recover","normal","status","","","5","세포를 재생시켜 자신의 최대 HP의 절반만큼 HP를 회복한다.","The user restores 1/2 of its maximum HP, rounded half up."
"106","harden","단단해지기","harden","normal","status","","","30","전신에 힘을 담아 몸을 단단하게 해서 자신의 방어를 올린다.","Raises the user's Defense by 1 stage."
"107","minimize","작아지기","minimize","normal","status","","","10","몸을 축소하여 작게 보임으로써 자신의 회피율을 크게 올린다.","Raises the user's evasiveness by 2 stages. Whether or not the user's evasiveness was changed, Body Slam, Dragon Rush, Flying Press, Heat Crash, Heavy Slam, Malicious Moonsault, Steamroller, Stomp, and Supercell Slam will not check accuracy and have their damage doubled if used against the user while it is active."
"108","smokescreen","연막","smokescreen","normal","status","","100","20","연기나 먹물을 내뿜어 상대의 명중률을 떨어뜨린다.","Lowers the target's accuracy by 1 stage."
"109","confuse-ray","이상한빛","confuse-ray","ghost","status","","100","10","이상한 빛을 상대에게 비춰 당황하게 한다. 상대를 혼란시킨다.","Causes the target to become confused."
"110","withdraw","껍질에숨기","withdraw","water","status","","","40","껍질에 숨어 몸을 보호하여 자신의 방어를 올린다.","Raises the user's Defense by 1 stage."
"111","defense-curl","웅크리기","defense-curl","normal","status","","","40","몸을 둥글게 웅크려서 자신의 방어를 올린다.","Raises the user's Defense by 1 stage. As long as the user remains active, the power of the user's Ice Ball and Rollout will be doubled (this effect is not stackable)."
"112","barrier","배리어","barrier","psychic","status","","","20","튼튼한 장막을 만들어 자신의 방어를 크게 올린다.","Raises the user's Defense by 2 stages."
"113","light-screen","빛의장막","light-screen","psychic","status","","","30","5턴 동안 이상한 장막으로 상대로부터 받는 특수공격의 데미지를 약하게 한다.","For 5 turns, the user and its party members take 0.5x damage from special attacks, or 0.66x damage if in a Double Battle. Damage is not reduced further with Aurora Veil. Critical hits ignore this effect. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Lasts for 8 turns if the user is holding Light Clay. Fails if the effect is already active on the user's side."
"114","haze","흑안개","haze","ice","status","","","30","흑안개를 뿜어 배틀에 참가 중인 포켓몬 전원의 능력 변화를 원래대로 돌린다.","Resets the stat stages of all active Pokemon to 0."
"115","reflect","리플렉터","reflect","psychic","status","","","20","5턴 동안 이상한 장막으로 상대로부터 받는 물리공격의 데미지를 약하게 한다.","For 5 turns, the user and its party members take 0.5x damage from physical attacks, or 0.66x damage if in a Double Battle. Damage is not reduced further with Aurora Veil. Critical hits ignore this effect. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Lasts for 8 turns if the user is holding Light Clay. Fails if the effect is already active on the user's side."
